symbol,name,parent
4662,Sprzedaż hurtowa obrabiarek,466
4663,"Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej",466
4664,Sprzedaż hurtowa maszyn dla przemysłu tekstylnego oraz maszyn do szycia i maszyn dziewiarskich,466
4665,Sprzedaż hurtowa mebli biurowych,466
4666,Sprzedaż hurtowa pozostałych maszyn i urządzeń biurowych,466
4669,Sprzedaż hurtowa pozostałych maszyn i urządzeń,466
4671,Sprzedaż hurtowa paliw i produktów pochodnych,467
4672,Sprzedaż hurtowa metali i rud metali,467
4673,"Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego",467
4674,Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego,467
4675,Sprzedaż hurtowa wyrobów chemicznych,467
4676,Sprzedaż hurtowa pozostałych półproduktów,467
4677,Sprzedaż hurtowa odpadów i złomu,467
4690,Sprzedaż hurtowa niewyspecjalizowana,469
4711,"Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych",471
4719,Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,471
4721,Sprzedaż detaliczna owoców i warzyw prowadzona w wyspecjalizowanych sklepach,472
4722,Sprzedaż detaliczna mięsa i wyrobów z mięsa prowadzona w wyspecjalizowanych sklepach,472
4723,"Sprzedaż detaliczna ryb, skorupiaków i mięczaków prowadzona w wyspecjalizowanych sklepach",472
4724,"Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych prowadzona w wyspecjalizowanych sklepach",472
4725,Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych prowadzona w wyspecjalizowanych sklepach,472
4726,Sprzedaż detaliczna wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach,472
4729,Sprzedaż detaliczna pozostałej żywności prowadzona w wyspecjalizowanych sklepach,472
4730,Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw,473
4741,"Sprzedaż detaliczna komputerów, urządzeń peryferyjnych i oprogramowania prowadzona w wyspecjalizowanych sklepach",474
7220,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych,722
7311,Działalność agencji reklamowych,731
7312,Działalność związana z reprezentowaniem mediów,731
7320,Badanie rynku i opinii publicznej,732
7410,Działalność w zakresie specjalistycznego projektowania,741
7420,Działalność fotograficzna,742
7430,Działalność związana z tłumaczeniami,743
7490,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana",749
7500,DZIAŁALNOŚĆ WETERYNARYJNA,750
7711,Wynajem i dzierżawa samochodów osobowych i furgonetek,771
7712,"Wynajem i dzierżawa pozostałych pojazdów samochodowych, z wyłączeniem motocykli",771
7721,Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego,772
7722,"Wypożyczanie kaset wideo, płyt CD, DVD itp.",772
7729,Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego,772
7731,Wynajem i dzierżawa maszyn i urządzeń rolniczych,773
7732,Wynajem i dzierżawa maszyn i urządzeń budowlanych,773
7733,"Wynajem i dzierżawa maszyn i urządzeń biurowych, włączając komputery",773
7734,Wynajem i dzierżawa środków transportu wodnego,773
7735,Wynajem i dzierżawa środków transportu lotniczego,773
7739,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane",773
7740,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim",774
7810,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników,781
7820,Działalność agencji pracy tymczasowej,782
7830,Pozostała działalność związana z udostępnianiem pracowników,783
7911,Działalność agentów i pośredników turystycznych,791
7912,Działalność organizatorów turystyki,791
7990,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,799
8010,"Działalność ochroniarska, z wyłączeniem obsługi systemów bezpieczeństwa",801
8020,Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa,802
8030,Działalność detektywistyczna,803
8110,Działalność pomocnicza związana z utrzymaniem porządku w budynkach,811
8121,Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych,812
8122,Specjalistyczne sprzątanie budynków i obiektów przemysłowych,812
8129,Pozostałe sprzątanie,812
8130,Działalność usługowa związana z zagospodarowaniem terenów zieleni,813
8211,Działalność usługowa związana z administracyjną obsługą biura,821
8219,"Wykonywanie fotokopii, przygotowywanie dokumentów i pozostała specjalistyczna działalność wspomagająca prowadzenie biura",821
8220,Działalność centrów telefonicznych (call center),822
2521,Produkcja grzejników i kotłów centralnego ogrzewania,252
4742,Sprzedaż detaliczna sprzętu telekomunikacyjnego prowadzona w wyspecjalizowanych sklepach,474
8230,"Działalność związana z organizacją targów, wystaw i kongresów",823
0111,"Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu",011
0112,Uprawa ryżu,011
0113,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych",011
0114,Uprawa trzciny cukrowej,011
0115,Uprawa tytoniu,011
0116,Uprawa roślin włóknistych,011
0119,Pozostałe uprawy rolne inne niż wieloletnie,011
0121,Uprawa winogron,012
0122,Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych,012
